outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2016,2017 - 2018,93,0.08271604938271605,0.8056810699588477,0.12166666666666667
v2x_freexp_altinf,2016,2017 - 2018,94,0.0033333333333333335,0.9686123456790123,0.028148148148148148
v2x_freexp_altinf,2016,2017 - 2018,95,0.001388888888888889,0.9927858796296296,0.005833333333333334
v2x_freexp_altinf,2016,2017 - 2018,100,0.06027777777777778,0.8196466049382716,0.12777777777777777
v2x_freexp_altinf,2016,2017 - 2018,101,0.222037037037037,0.5450542981252858,0.2993827160493827
v2x_freexp_altinf,2016,2017 - 2018,110,0.1601851851851852,0.7454911694101508,0.11231481481481483
v2x_freexp_altinf,2016,2017 - 2018,115,0.04046296296296296,0.8516779663923183,0.1124074074074074
v2x_freexp_altinf,2016,2017 - 2018,130,0.03342592592592592,0.7962444802383403,0.1762199074074074
v2x_freexp_altinf,2016,2017 - 2018,135,0.025,0.8913125,0.08583333333333333
v2x_freexp_altinf,2016,2017 - 2018,140,0.05285714285714285,0.6293238095238095,0.33555555555555555
v2x_freexp_altinf,2016,2017 - 2018,145,0.08174603174603175,0.8016705334397134,0.1269620811287478
v2x_freexp_altinf,2016,2017 - 2018,150,0.10351851851851851,0.7565307613168724,0.15611111111111112
v2x_freexp_altinf,2016,2017 - 2018,155,0.0011111111111111111,0.9955592592592594,0.0033333333333333335
v2x_freexp_altinf,2016,2017 - 2018,160,0.06222222222222222,0.8208594650205762,0.12467592592592593
v2x_freexp_altinf,2016,2017 - 2018,165,0.0011111111111111111,0.9790220987654322,0.019888888888888887
v2x_freexp_altinf,2016,2017 - 2018,200,0,0.9911111111111112,0.008888888888888889
v2x_freexp_altinf,2016,2017 - 2018,205,0.0044444444444444444,0.9844938271604938,0.011111111111111112
v2x_freexp_altinf,2016,2017 - 2018,210,0,0.9988888888888889,0.0011111111111111111
v2x_freexp_altinf,2016,2017 - 2018,211,0.0011111111111111111,0.9938944444444445,0.005
v2x_freexp_altinf,2016,2017 - 2018,212,0,0.9966666666666667,0.0033333333333333335
v2x_freexp_altinf,2016,2017 - 2018,220,0,0.9944444444444445,0.005555555555555556
v2x_freexp_altinf,2016,2017 - 2018,225,0.0011111111111111111,0.9944493827160494,0.0044444444444444444
v2x_freexp_altinf,2016,2017 - 2018,230,0.0077777777777777776,0.9878123456790123,0.0044444444444444444
v2x_freexp_altinf,2016,2017 - 2018,235,0.006666666666666667,0.9513925925925925,0.042222222222222223
v2x_freexp_altinf,2016,2017 - 2018,260,0,0.9838888888888889,0.01611111111111111
v2x_freexp_altinf,2016,2017 - 2018,290,0.0944814814814815,0.5796995404663923,0.35981481481481487
v2x_freexp_altinf,2016,2017 - 2018,305,0.005555555555555556,0.9701358024691358,0.024444444444444446
v2x_freexp_altinf,2016,2017 - 2018,310,0.06129629629629629,0.6908163923182441,0.26407407407407407
v2x_freexp_altinf,2016,2017 - 2018,316,0.0016666666666666668,0.9833583333333333,0.015
